"Q17_Age","Q19_Sex","Q20_EduLevel","Q21_EduType","Q22_WorkExperience","Q32_CurrentSituation","Q29_Prof_Knowledge","Q30_Involvement","Q2023_Country_Residence","Q2023_Country_Origin","Q16_Device_Owned","Q2_Device_In_Mind","Q3_Positive_About_Device","Q3_Feel_Victimized","Q3_Device_Runs_Independently","Q3_Device_Cannot_Initiate_Actions","Q3_Me_The_User_In_Control","Q3_Device_Forces_Process_On_Me","Q3_Device_Cannot_Change_Task","Q3_Device_Has_Own_Intelligence","Q4_Understand_How_Device_Works","Q4_Not_Ideal_Use","Q4_Device_Active_Participant","Q4_Device_Dependent_On_Me","Q4_Freely_Choose_Tasks","Q4_Cannot_Achieve_Things_I_Want","Q4_Device_Handles_Better_Certain_Things","Q4_Device_Not_Helpful","Q5_Enjoy_Device","Q5_Negative_Feelings_Towards_Device","Q5_Miss_Device","Q5_Device_Pleasurable","Q6_Device_Has_Own_Personality","Q6_Device_Supports_Like_Friend","Q6_Consider_Naming_Device","Q7_Device_Part_Of_Myself","Q7_Dont_Like_Others_Use_My_Device","Q7_Feel_Incomplete_Without_Device","Q8_Device_Useful_For_My_Goals","Q8_Device_Better_Than_NonSmart_Equivalent","Q8_Function_Aspect_Most_Important","Q9_Device_Important_Part_Lifestyle","Q9_Device_Helps_Me_Larger_Community","Q9_Device_Helps_Me_Social_Relations","Q10_Saves_Me_Time","Q10_Saves_Me_Money","Q10_Price_Most_Important_Factor"
6,2,5,7,5,1,1,1,24,24,7,NA,"Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Strongly Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Disagree"
3,2,3,1,9,1,2,2,60,60,5,"Insulin pump (medtronic)","Strongly Agree","Strongly Disagree","Neutral","Neutral","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Strongly Agree","Neutral","Somewhat Disagree","Neutral","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Neutral"
3,1,3,8,9,2,1,2,122,116,5,"Smart watch (Garmin)","Somewhat Agree","Neutral","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree"
9,1,5,8,5,1,1,1,169,65,7,NA,"Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Agree",NA,"Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree"
5,2,3,1,3,2,2,2,60,60,7,"Siri","Somewhat Disagree","Strongly Disagree","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Neutral","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree"
3,2,7,7,9,1,1,1,187,83,5,"Daysy Cycle Monitor","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Neutral","Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree"
6,1,5,1,2,1,2,1,140,140,1,NA,"Somewhat Agree","Neutral","Neutral","Somewhat Disagree","Neutral","Somewhat Agree","Neutral","Neutral","Somewhat Disagree","Neutral","Neutral","Neutral","Somewhat Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Neutral","Neutral","Neutral"
7,2,3,1,5,1,1,2,60,60,1,NA,"Somewhat Agree","Strongly Disagree","Neutral","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Strongly Disagree","Neutral","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Neutral","Somewhat Disagree","Somewhat Disagree","Neutral","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Disagree"
9,2,5,8,6,1,1,2,31,31,1,"Huawei","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Neutral","Neutral","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral","Somewhat Disagree"
4,1,5,7,2,1,1,1,187,162,7,NA,"Somewhat Agree","Somewhat Disagree","Neutral","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Neutral","Neutral","Somewhat Agree","Strongly Agree","Somewhat Agree","Neutral","Neutral","Somewhat Agree","Neutral","Neutral","Somewhat Disagree","Neutral","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Neutral","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree"
8,2,3,1,6,2,2,2,122,9,2,"lawn mower Husqvarna","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Neutral","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral","Strongly Disagree"
3,1,4,11,2,1,1,2,17,17,1,"Apple Watch","Somewhat Agree","Neutral","Neutral","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Neutral","Neutral","Strongly Agree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree"
8,1,5,7,7,1,1,2,122,122,7,NA,"Neutral","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Somewhat Agree"
7,1,5,7,5,1,1,2,84,84,8,"LG Smart TV","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree"
3,2,7,1,9,2,2,2,122,142,1,"Skagen Hybrid Watch","Somewhat Agree","Strongly Disagree","Neutral","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree"
4,2,3,1,2,1,2,2,60,60,1,"Suunto Ambit 3Sport","Somewhat Agree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Neutral","Neutral","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Neutral","Strongly Disagree"
5,2,3,1,3,1,2,2,60,60,8,NA,"Strongly Agree","Strongly Disagree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree"
7,2,3,1,5,2,2,2,122,187,1,"Fitbit","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree",NA,"Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree"
4,1,4,7,2,2,1,1,44,44,6,NA,"Somewhat Disagree","Neutral","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree"
7,1,4,11,5,1,2,2,100,100,2,"Vacuum cleaner robot Viomi","Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Neutral","Neutral","Strongly Agree","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Neutral","Neutral","Neutral","Somewhat Disagree","Neutral","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Neutral"
7,1,4,2,5,1,1,2,65,65,7,"Siri","Somewhat Agree","Neutral","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neutral","Somewhat Agree","Somewhat Agree","Neutral","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Disagree","Strongly Disagree"
6,2,3,1,4,1,2,2,60,60,1,"Oura","Strongly Agree","Strongly Disagree","Neutral","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Neutral","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neutral","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
4,1,3,6,2,1,1,2,138,138,1,"SMART WATCH APPLE","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Strongly Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree"
4,1,5,7,2,1,1,1,61,61,3,"Bose Soundtouch 10","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Neutral"
2,2,3,8,9,1,1,2,61,61,6,"Kindle","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Disagree"
10,1,2,11,7,1,1,2,185,185,8,"Samsung","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Neutral","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Neutral","Somewhat Disagree","Neutral","Neutral","Neutral","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree"
5,2,4,1,3,2,1,2,61,122,1,"Garmin Forerunner 645 music","Strongly Agree","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral"
6,2,4,1,5,1,1,2,122,122,8,NA,"Strongly Agree","Neutral","Strongly Disagree","Neutral","Neutral","Somewhat Agree","Strongly Agree","Neutral","Neutral","Somewhat Agree","Somewhat Disagree","Neutral","Neutral","Somewhat Agree","Strongly Agree","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neutral","Strongly Disagree","Strongly Agree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
5,1,3,7,4,1,1,2,122,122,7,"Alexa","Strongly Disagree","Neutral","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
8,1,5,7,7,1,1,1,137,137,1,"Xiaomi","Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Neutral","Somewhat Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree"
7,2,4,7,4,1,1,2,187,84,7,"Amazon Alexa","Somewhat Agree","Somewhat Disagree","Neutral","Neutral","Neutral","Somewhat Disagree","Neutral","Somewhat Disagree","Somewhat Agree","Neutral","Neutral","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Agree"
4,1,2,8,3,4,2,2,122,122,1,"Fitbit charge 2","Strongly Disagree","Strongly Disagree","Neutral","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
2,1,3,8,9,1,1,1,122,122,1,"Xiaomi miband 4","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Neutral","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Neutral","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree"
9,2,3,1,7,2,1,2,169,60,8,"Apple","Somewhat Agree","Somewhat Disagree","Neutral","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Neutral","Strongly Disagree","Somewhat Agree","Strongly Disagree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree"
8,2,4,7,5,1,1,1,169,84,7,NA,"Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Neutral","Strongly Disagree","Neutral","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Somewhat Disagree"
4,2,3,1,9,1,2,2,65,60,8,NA,"Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Strongly Agree","Neutral","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Neutral"
5,1,3,8,3,1,1,2,122,80,8,"TV Sony","Somewhat Agree","Strongly Disagree","Neutral","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Neutral","Somewhat Disagree","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Agree","Neutral","Somewhat Agree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree"
2,2,3,8,9,1,1,2,122,122,4,"Oral-b smart 4","Neutral","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Somewhat Agree","Strongly Disagree"
5,1,1,6,5,1,1,2,84,84,4,"oral b toothbrush","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
7,1,5,1,3,1,1,1,187,187,7,"Google Home","Somewhat Agree","Neutral","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Neutral","Neutral","Neutral","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Neutral"
8,2,3,1,5,1,1,1,84,84,7,"Home energy free. Ecolibera","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Neutral","Strongly Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Neutral","Strongly Agree","Somewhat Agree","Neutral","Strongly Disagree","Neutral","Neutral"
